Test Case ID,Test Scenario / Module,Test Case Description,Preconditions,Test Steps,Expected Result,Actual Result (to be filled during testing),Status (Pass/Fail/Blocked),Severity / Priority,Remarks
UI-001,UI/UX & Layout,Verify global header and hero area render correctly on first load,Deployed site reachable over HTTPS,"1) Open home page
2) Visually inspect header/hero","Header, title, and primary actions are visible and aligned",,,Medium / P2,
UI-002,UI/UX & Layout,Validate navigation links anchor-scroll to correct sections,Home loaded,"1) Click each nav link
2) Observe scroll target",Each link scrolls to the correct section with smooth behavior,,,High / P1,
UI-003,UI/UX & Typography,"Check font sizes, weights, and line-height consistency",Home loaded on desktop,"1) Inspect headings/body text
2) Compare to design tokens","Readable typography
 no truncation or overlaps",,,Medium / P2,
UI-004,UI/UX & Buttons,"Hover, focus, active states visible on all buttons",Home loaded,"1) Tab through buttons
2) Hover and click","Distinct visual states
 focus ring clearly visible",,,High / P1,
UI-005,UI/UX & Images,Images are responsive and preserve aspect ratio,Home loaded,"1) Resize viewport
2) Observe images in cards/sections","Images scale without distortion
 no overflow",,,Medium / P2,
UI-006,UI/UX & Tables,Truth tables scroll horizontally on small viewports,"Home loaded, small viewport","1) Set width to 375px
2) Inspect tables","Tables are scrollable
 no layout break",,,Medium / P2,
UI-007,UI/UX & Cards,"Cards have consistent padding, border, and shadow",Home loaded,"1) Inspect several cards
2) Compare spacing",Consistent spacing and elevation per style,,,Low / P3,
UI-008,Navigation,Back-to-top and in-page links work correctly,Home loaded,"1) Click back-to-top
2) Click intra-page anchors",Smooth scroll and correct target focus,,,Medium / P2,
UI-009,Theme & Colors,Color scheme meets brand and legibility standards,Home loaded,"1) Inspect color contrast
2) Check accent usage","Primary/secondary colors consistent
 no illegible text",,,Medium / P2,
RESP-010,Responsiveness,Layout stable on desktop (=1200px),DevTools open,"1) Set width 1440px
2) Scan page","No overflows
 grid aligns
 no excessive whitespace",,,High / P1,
RESP-011,Responsiveness,Layout stable on tablet (~768px),DevTools open,"1) Set width 768px
2) Scan sections","Navigation and content adapt
 no clipping",,,High / P1,
RESP-012,Responsiveness,Layout stable on mobile (375px),DevTools open,"1) Set width 375px
2) Scan all modules","All critical content accessible
 controls tappable",,,High / P1,
FUNC-013,Modals - Lab3,Open/close Lab3 modal via button and ESC,Home loaded,"1) Open Lab3 modal
2) Press ESC
3) Click outside","Modal opens
 ESC and backdrop close it
 focus returns",,,High / P1,Focus management required
FUNC-014,Modals - Lab4,"Open/close Lab4 modal
 trap focus within modal",Home loaded,"1) Open Lab4 modal
2) Tab cycles inside
3) Shift+Tab cycles back",Focus does not escape modal until closed,,,High / P1,Accessibility-critical
FUNC-015,K-Map (Lab5),Validate K-Map input accepts only 0/1/X,"Home loaded
 Lab5 section","1) Enter invalid chars
2) Enter 0/1/X","Invalid blocked
 valid accepted
 error styles shown for invalid",,,High / P1,Input validation
